label,score,comments
admiration,0.3924318850040436,Keep up the good work specially when it comes to student's concerns!!!
neutral,0.9954248070716858,No Comment
sadness,0.9838228821754456,It is sad that UE College of Engineering is one of the few colleges that's still in online learning.
neutral,0.9954248070716858,No Comment
neutral,0.9954248070716858,No Comment
neutral,0.9954248070716858,No Comment
neutral,0.9938509464263916,"Set up a webinar teaching them how to use online tools for teaching
"
approval,0.8911917805671692,"The department responds quickly on majority of student concerns. However, there is a difficulty in opening or rescheduling subjects during the online registration period."
neutral,0.9732877016067504, 
admiration,0.9397689700126648,Very Good
neutral,0.7997670769691467,none
annoyance,0.9291301369667052,Lack of communication between the staff of the university to the students.
neutral,0.9954248070716858,No Comment
neutral,0.9718952775001526,NOTHING
optimism,0.8054276704788208,I have no issues or any suggestions I have in mind right now
neutral,0.8092268109321594,:)
neutral,0.9954248070716858,No Comment
neutral,0.8445758819580078,Engineering department services are very approachable.
optimism,0.4995547831058502,not accomodating sometimes but overall have a good experience 
neutral,0.9755703210830688,More Renovation and innovation
approval,0.7542871236801147,Could gain to have more professors.
neutral,0.9954248070716858,No Comment
approval,0.9894128441810608,Everything flows smoothly when it comes to different concerns. Very easy to have mutual understanding between the department and students. That's all!
approval,0.7937080264091492,The office of the engineering department is very accommodating and very approvable. their officers is very active when it comes to communication.
approval,0.9116286635398864,Need more professors
